TransactionID,Date,Time,State
10300097,1/1/2021,7:35:21 AM,New York
10300093,1/1/2021,9:33:37 AM,New York
10300091,1/1/2021,10:08:32 AM,New Jersey
10300096,1/1/2021,10:43:40 AM,Pennsylvania
10300103,1/1/2021,11:05:32 AM,New Jersey
10300100,1/1/2021,11:39:46 AM,New York
10300102,1/1/2021,11:44:27 AM,Connecticut
10300101,1/1/2021,12:14:47 PM,Connecticut
10300098,1/1/2021,12:21:14 PM,Pennsylvania
10300094,1/1/2021,12:40:29 PM,New York
10300099,1/1/2021,12:52:02 PM,Pennsylvania
10300092,1/1/2021,1:10:33 AM,New Jersey
10300095,1/1/2021,2:32:28 AM,Connecticut
10300107,1/2/2021,3:58:22 AM,Connecticut
10300113,1/2/2021,6:14:35 AM,Pennsylvania
10300110,1/2/2021,7:13:26 AM,New York
10300104,1/2/2021,7:42:56 AM,Pennsylvania
10300111,1/2/2021,8:45:17 AM,Pennsylvania
10300114,1/2/2021,9:39:27 AM,New York
10300109,1/2/2021,9:47:55 AM,New Jersey
10300118,1/2/2021,9:48:36 AM,New York
10300105,1/2/2021,10:50:35 AM,New York
10300106,1/2/2021,10:56:33 AM,Pennsylvania
10300117,1/2/2021,11:27:04 AM,Connecticut
10300112,1/2/2021,12:00:24 PM,Pennsylvania
10300115,1/2/2021,12:05:41 PM,New York
10300119,1/2/2021,1:08:34 AM,New York
10300108,1/2/2021,1:16:01 AM,Pennsylvania
10300116,1/2/2021,1:27:12 AM,New York
10300120,1/3/2021,8:56:49 AM,Pennsylvania
10300121,1/3/2021,10:41:16 AM,South Carolina
10300123,1/3/2021,10:42:24 AM,New York
10300122,1/3/2021,11:01:30 AM,Michigan
10300124,1/4/2021,12:05:54 PM,Connecticut
10300133,1/5/2021,6:50:27 AM,New York
10300130,1/5/2021,8:31:51 AM,New York
10300137,1/5/2021,8:32:19 AM,New York
10300125,1/5/2021,11:04:54 AM,Pennsylvania
10300135,1/5/2021,11:16:57 AM,Pennsylvania
10300134,1/5/2021,11:43:14 AM,Georgia
10300138,1/5/2021,11:59:16 AM,New York
10300127,1/5/2021,12:01:02 PM,New York
10300126,1/5/2021,12:06:13 PM,Pennsylvania
10300131,1/5/2021,12:20:10 PM,Connecticut
10300128,1/5/2021,1:39:19 AM,Michigan
10300136,1/5/2021,2:07:40 AM,Pennsylvania
10300132,1/5/2021,2:13:10 AM,New York
10300129,1/5/2021,3:37:57 AM,New York
10300156,1/6/2021,7:40:17 AM,Arizona
10300149,1/6/2021,8:24:03 AM,Pennsylvania
10300154,1/6/2021,9:10:44 AM,Alabama
10300145,1/6/2021,10:01:52 AM,New York
10300151,1/6/2021,10:34:41 AM,Pennsylvania
10300148,1/6/2021,10:36:05 AM,New York
10300139,1/6/2021,10:44:02 AM,Ohio
10300150,1/6/2021,10:51:05 AM,New Jersey
10300141,1/6/2021,11:11:45 AM,Pennsylvania
10300152,1/6/2021,11:20:35 AM,Florida
10300143,1/6/2021,11:35:58 AM,Maryland
10300146,1/6/2021,11:44:30 AM,Texas
10300155,1/6/2021,11:58:05 AM,New Jersey
10300153,1/6/2021,12:07:08 PM,New Jersey
10300147,1/6/2021,12:47:14 PM,Texas
10300144,1/6/2021,1:07:18 AM,South Carolina
10300140,1/6/2021,1:29:33 AM,New York
10300142,1/6/2021,3:00:01 AM,New York
10300171,1/7/2021,6:39:37 AM,New York
10300170,1/7/2021,7:19:14 AM,New York
10300183,1/7/2021,7:35:08 AM,Pennsylvania
10300185,1/7/2021,8:33:25 AM,New York
10300176,1/7/2021,8:40:39 AM,New York
10300164,1/7/2021,8:41:07 AM,California
10300181,1/7/2021,9:06:33 AM,Hawaii
10300182,1/7/2021,9:06:48 AM,New Jersey
10300169,1/7/2021,9:35:09 AM,New York
10300157,1/7/2021,9:41:54 AM,Pennsylvania
10300184,1/7/2021,10:39:26 AM,New York
10300161,1/7/2021,10:43:41 AM,Texas
10300162,1/7/2021,10:55:15 AM,Pennsylvania
10300166,1/7/2021,11:09:38 AM,New Jersey
10300175,1/7/2021,11:18:02 AM,Pennsylvania
10300168,1/7/2021,11:20:49 AM,Oklahoma
10300187,1/7/2021,11:21:59 AM,Florida
10300172,1/7/2021,11:45:37 AM,Georgia
10300174,1/7/2021,12:03:41 PM,Pennsylvania
10300180,1/7/2021,12:04:31 PM,Texas
10300159,1/7/2021,12:44:50 PM,New York
10300165,1/7/2021,12:49:53 PM,New Mexico
10300167,1/7/2021,1:03:52 AM,South Carolina
10300158,1/7/2021,1:05:18 AM,Texas
10300160,1/7/2021,1:24:06 AM,Pennsylvania
10300186,1/7/2021,1:35:37 AM,Texas
10300178,1/7/2021,1:58:32 AM,Texas
10300173,1/7/2021,2:19:17 AM,New Jersey
10300177,1/7/2021,2:44:09 AM,New Jersey
10300163,1/7/2021,2:56:17 AM,Indiana
10300179,1/7/2021,3:47:53 AM,New York
10300189,1/8/2021,7:06:02 AM,Arizona
10300206,1/8/2021,7:18:31 AM,New Jersey
10300194,1/8/2021,7:43:45 AM,New York
10300192,1/8/2021,7:55:19 AM,New Jersey
10300216,1/8/2021,9:29:26 AM,Colorado
10300209,1/8/2021,9:49:41 AM,Pennsylvania
10300212,1/8/2021,9:55:56 AM,Indiana
10300190,1/8/2021,9:58:36 AM,New Jersey
10300214,1/8/2021,10:03:13 AM,North Carolina
10300201,1/8/2021,10:22:27 AM,New York
10300213,1/8/2021,10:30:08 AM,New York
10300205,1/8/2021,10:46:10 AM,New York
10300203,1/8/2021,10:52:51 AM,New York
10300195,1/8/2021,10:59:04 AM,Pennsylvania
