CustomerID,Age
1001019,20
1001015,34
1001012,26
1001018,26
1001025,24
1001022,27
1001024,35
1001023,29
1001020,28
1001016,29
1001021,19
1001014,32
1001017,31
1001028,21
1001034,29
1001031,21
1001026,35
1001032,27
1001035,35
1001030,23
1001039,24
1001027,29
1001038,31
1001033,37
1001036,27
1001040,39
1001029,35
1001037,28
1001041,51
1001042,21
1001044,42
1001043,25
1001045,25
1001053,24
1001057,39
1001046,31
1001055,21
1001054,24
1001058,36
1001048,24
1001047,21
1001051,26
1001049,31
1001056,28
1001052,27
1001050,35
1001075,28
1001068,27
1001073,28
1001064,34
1001070,34
1001067,26
1001069,29
1001060,30
1001071,32
1001062,22
1001065,38
1001074,25
1001072,26
1001066,28
1001063,38
1001059,28
1001061,27
1001089,23
1001088,31
1001101,35
1001103,28
1001094,45
1001082,21
1001099,37
1001100,28
1001087,47
1001076,21
1001102,38
1001080,24
1001081,39
1001084,30
1001093,26
1001086,26
1001105,24
1001090,31
1001092,22
1001098,24
1001078,31
1001083,25
1001085,22
1001077,46
1001079,26
1001104,45
1001096,49
1001091,34
1001095,24
1001097,22
1001107,31
1001122,30
1001110,23
1001131,23
1001125,38
1001127,24
1001108,27
1001129,31
1001117,21
1001128,31
1001121,33
1001119,31
1001112,38
1001124,30
1001118,24
1001106,28
1001116,39
1001126,31
1001115,25
1001123,35
1001114,25
1001120,23
1001109,19
1001111,32
1001130,27
1001113,29
1001133,30
1001144,19
1001143,48
1001132,22
1001139,34
1001141,26
1001142,25
1001146,25
1001136,35
1001137,38
1001145,24
1001140,27
1001135,27
1001134,30
1001138,30
1001150,21
1001154,44
1001153,41
1001149,28
1001155,31
1001156,20
1001148,24
1001147,36
1001151,23
1001152,40
1001158,36
1001159,35
1001160,29
1001157,25
1001163,29
1001173,21
1001161,21
1001169,22
1001170,31
1001164,25
1001168,31
1001165,27
1001172,36
1001162,37
1001171,22
1001166,26
1001167,33
1001177,24
1001185,22
1001179,20
1001181,22
1001192,28
1001191,27
1001178,48
1001197,24
1001180,40
1001175,24
1001193,25
1001189,29
1001195,27
1001176,23
1001186,32
1001187,30
1001183,25
1001188,21
1001184,21
1001190,21
1001196,32
1001182,31
1001174,42
1001194,27
1001210,24
1001221,23
1001207,29
1001213,35
1001212,39
1001199,19
1001204,32
1001211,34
1001224,29
1001206,25
1001201,40
1001225,33
1001200,25
1001219,35
1001218,28
1001222,26
1001216,20
1001223,25
1001198,25
1001209,39
1001214,35
1001226,31
1001208,23
1001203,31
1001217,29
1001220,29
1001215,43
1001205,39
1001202,34
1001243,51
1001256,44
1001236,27
1001253,31
1001230,24
1001242,28
1001239,22
1001258,36
1001248,33
1001245,25
1001227,26
1001247,43
1001232,35
1001229,28
1001261,30
1001249,40
1001233,42
1001255,28
1001234,19
1001259,30
1001262,26
1001246,48
1001240,31
1001260,26
1001244,28
1001264,26
1001231,41
