Student_ID,Student_ID,,Course_ID
4C25D2D418EC,4C25D2D418EC,,1
592288068D0E,592288068D0E,,2
493EFBA51280,493EFBA51280,,3
9508878DBECD,9508878DBECD,,4
B814C88DED05,B814C88DED05,,5
90F347125D27,90F347125D27,,6
2F0C6D6AA452,2F0C6D6AA452,,7
26663929B9D5,26663929B9D5,,8
2DF8539DE639,2DF8539DE639,,9
6E574745ADFD,6E574745ADFD,,10
C89576B45391,C89576B45391,,11
1272940F8AEF,1272940F8AEF,,12
9EE483033922,9EE483033922,,13
1065E531486A,1065E531486A,,14
E235C07F2441,E235C07F2441,,15
2428CA231380,2428CA231380,,16
D132A9371F5A,D132A9371F5A,,17
3049A95E9F66,3049A95E9F66,,18
377BA9A6E418,377BA9A6E418,,19
BE87DF6C173F,BE87DF6C173F,,20
315438036B3A,315438036B3A,,21
EA35CA02E260,EA35CA02E260,,22
C46132201669,C46132201669,,23
153D811E08FB,153D811E08FB,,24
00E7C83E7D03,00E7C83E7D03,,25
FDDB4FCD74E7,FDDB4FCD74E7,,26
9C6A00155CAC,9C6A00155CAC,,27
62475ADCE79B,62475ADCE79B,,28
619F8FAA4668,619F8FAA4668,,29
FC37FD84A71D,FC37FD84A71D,,30
0849A9259271,0849A9259271,,31
975C897407C7,975C897407C7,,32
146C5610BBF5,146C5610BBF5,,33
338D452B1F05,338D452B1F05,,34
972D3C8707CB,972D3C8707CB,,35
5E9849FC981D,5E9849FC981D,,36
398EDC8D7360,398EDC8D7360,,37
6B156B454D40,6B156B454D40,,38
52CD9A8E44CB,52CD9A8E44CB,,39
F43FDFEB98FA,F43FDFEB98FA,,40
A62CF1A934EB,A62CF1A934EB,,41
9825D0BC400A,9825D0BC400A,,42
B8E247196BF6,B8E247196BF6,,43
F3A66D61CE56,F3A66D61CE56,,44
B3FC85821768,B3FC85821768,,45
A2C38CA3E744,A2C38CA3E744,,46
511F8AF7443A,511F8AF7443A,,47
40556FA30792,40556FA30792,,48
7843A89BA2D0,7843A89BA2D0,,49
91171C440411,91171C440411,,50
7811A6F2B2B7,7811A6F2B2B7,,51
4D766AFEF073,4D766AFEF073,,52
EBA8709921FF,EBA8709921FF,,53
141E27304EDF,141E27304EDF,,54
308CB08FF368,308CB08FF368,,55
F9BB6DFB6871,F9BB6DFB6871,,56
4AE08C879D70,4AE08C879D70,,57
9AB24E51F16A,9AB24E51F16A,,58
0A4DFCB22E3E,0A4DFCB22E3E,,59
FCD19E14F00F,FCD19E14F00F,,60
BF0DAF397AD5,BF0DAF397AD5,,61
FACB636DFE8B,FACB636DFE8B,,62
3D4C08D7EE27,3D4C08D7EE27,,63
5ADF231C953C,5ADF231C953C,,64
951579EA153B,951579EA153B,,65
ECFFA2F3516B,ECFFA2F3516B,,66
3DDC3A3C0417,3DDC3A3C0417,,67
164394D24A13,164394D24A13,,68
B42989CE5DB9,B42989CE5DB9,,69
